model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,1.0,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.01,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.03,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.05,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.07,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.09,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.1,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.5,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,1.0,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.01,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.03,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.05,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.07,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.09,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.1,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.5,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,1.0,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.01,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.03,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.05,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.07,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.09,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.1,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.5,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,1.0,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.01,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.03,0.7333333333333333
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.05,0.9777777777777777
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.07,0.9777777777777777
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.09,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.1,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.5,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,1.0,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.01,0.6458333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.03,0.3541666666666667
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.05,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.07,0.020833333333333332
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.09,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.1,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.5,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,1.0,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.01,0.4791666666666667
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.03,1.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.05,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.07,0.041666666666666664
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.09,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.1,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.5,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,1.0,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.01,0.2708333333333333
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.03,1.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.05,0.2708333333333333
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.07,0.10416666666666667
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.09,1.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.1,0.8333333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.5,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,1.0,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.01,0.22916666666666666
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.03,1.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.05,0.7916666666666666
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.07,0.3541666666666667
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.09,1.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.1,0.8125
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.5,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,1.0,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.01,0.14583333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.03,0.8125
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.05,0.9583333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.07,0.8958333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.09,0.9791666666666666
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.1,0.9583333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.5,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,1.0,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.01,0.020833333333333332
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.03,0.25
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.05,0.4375
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.07,0.625
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.09,0.5208333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.1,0.6041666666666666
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.5,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,1.0,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.01,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.03,0.041666666666666664
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.05,0.125
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.07,0.14583333333333334
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.09,0.16666666666666666
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.1,0.16666666666666666
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.5,0.0
Qwen1.5-32B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.01,0.06
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.03,0.24
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.05,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.07,0.9
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.09,0.94
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.1,0.96
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.01,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.03,0.18
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.05,1.0
