model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,x_axis,x_value,max_accuracy,maximised_over,argmax_value,n_contributing
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,long,mcqa,topk,0.09,0.5116279069767442,steering factor,2.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,long,mcqa,topk,0.1,0.46511627906976744,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,long,mcqa,topk,0.5,0.20930232558139536,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,long,mcqa,topk,1.0,0.13953488372093023,steering factor,1.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.01,0.9090909090909091,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.03,0.8787878787878788,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.05,0.7272727272727273,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.07,0.6363636363636364,steering factor,4.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.09,0.6363636363636364,steering factor,4.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.1,0.5151515151515151,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.5,0.0,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,1.0,0.0,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.01,0.06,steering factor,5.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.03,0.1,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.05,0.66,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.07,0.56,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.09,0.62,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.1,0.58,steering factor,6.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.5,0.4,steering factor,4.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,1.0,0.18,steering factor,2.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.01,0.08,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.03,0.44,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.05,0.42,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.07,0.78,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.09,0.4,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.1,0.3,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.5,0.6,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,1.0,0.4,steering factor,10.0,7
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.01,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.03,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.05,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.07,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.09,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.1,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.5,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,1.0,,steering factor,,0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.01,0.3023255813953488,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.03,0.3023255813953488,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.05,0.18604651162790697,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.07,0.20930232558139536,steering factor,4.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.09,0.13953488372093023,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.1,0.13953488372093023,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,0.5,0.23255813953488372,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,single,comb,topk,1.0,0.046511627906976744,steering factor,1.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.01,0.9393939393939394,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.03,0.9696969696969697,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.05,0.9696969696969697,steering factor,8.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.07,0.7878787878787878,steering factor,4.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.09,0.8181818181818182,steering factor,4.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.1,0.7272727272727273,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.5,0.0,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,1.0,0.0,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.01,0.2,steering factor,4.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.03,0.6,steering factor,8.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.05,0.8,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.07,0.9,steering factor,8.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.09,0.74,steering factor,6.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.1,0.82,steering factor,6.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.5,0.26,steering factor,2.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,1.0,0.6,steering factor,2.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.01,0.36,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.03,0.98,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.05,1.0,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.07,1.0,steering factor,8.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.09,0.98,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.1,1.0,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.5,0.98,steering factor,5.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,1.0,0.8,steering factor,6.0,7
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.01,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.03,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.05,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.07,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.09,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.1,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.5,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,1.0,,steering factor,,0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.01,0.20930232558139536,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.03,0.6976744186046512,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.05,0.8604651162790697,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.07,0.8837209302325582,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.09,0.23255813953488372,steering factor,2.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.1,0.23255813953488372,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,0.5,0.20930232558139536,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,long,long,comb,topk,1.0,0.2558139534883721,steering factor,1.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.01,0.8181818181818182,steering factor,6.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.03,0.8484848484848485,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.05,0.8181818181818182,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.07,0.8787878787878788,steering factor,1.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.09,0.8787878787878788,steering factor,1.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.1,0.7878787878787878,steering factor,1.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.5,0.0,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,1.0,0.0,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.01,0.62,steering factor,4.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.03,0.34,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.05,0.18,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.07,0.3,steering factor,4.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.09,0.38,steering factor,5.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.1,0.36,steering factor,5.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.5,0.44,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,1.0,0.06,steering factor,1.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.01,0.82,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.03,0.74,steering factor,5.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.05,0.74,steering factor,4.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.07,0.62,steering factor,4.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.09,0.64,steering factor,2.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.1,0.64,steering factor,2.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.5,0.66,steering factor,2.0,7
gemma-3-12b-it,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,1.0,0.5,steering factor,5.0,7
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.01,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.03,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.05,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.07,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.09,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.1,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.5,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,1.0,,steering factor,,0
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.01,0.46511627906976744,steering factor,6.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.03,0.6744186046511628,steering factor,8.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.05,0.5581395348837209,steering factor,6.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.07,0.6744186046511628,steering factor,6.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.09,0.6976744186046512,steering factor,8.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.1,0.7441860465116279,steering factor,6.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,0.5,0.3953488372093023,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-single_to_sentence-single,single,single,mcqa,topk,1.0,0.0,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,long,mcqa,topk,0.01,0.8484848484848485,steering factor,8.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-single_to_sentence-single,single,long,mcqa,topk,0.03,0.9393939393939394,steering factor,5.0,7
