model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,0.01,0.26,4.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,0.03,0.32,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,0.05,0.52,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,0.07,0.54,1.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,0.09,0.62,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,0.1,0.56,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,0.5,0.6,1.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,long,comb,1.0,0.5,1.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,0.01,0.08,8.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,0.03,0.98,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,0.05,0.98,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,0.07,0.98,6.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,0.09,0.98,6.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,0.1,0.98,6.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,0.5,0.98,5.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,long,comb,1.0,0.9,6.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.01,0.5,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.03,0.62,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.05,0.84,6.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.07,0.82,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.09,0.94,8.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.1,0.94,8.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.5,0.0,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,1.0,0.0,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,0.01,0.22,8.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,0.03,0.18,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,0.05,0.38,5.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,0.07,0.58,6.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,0.09,0.68,6.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,0.1,0.62,6.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,0.5,0.36,2.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,long,comb,1.0,0.16,1.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.01,1.0,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.03,1.0,8.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.05,1.0,6.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.07,1.0,5.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.09,1.0,5.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.1,1.0,2.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.01,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.03,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.05,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.07,1.0,6.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.09,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.1,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.5,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,single,w_rf,1.0,0.5918367346938775,4.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.01,1.0,10.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.03,1.0,8.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.05,1.0,8.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.07,1.0,8.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.09,1.0,8.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.1,1.0,6.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.5,1.0,5.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,single,w_rf,1.0,0.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.01,1.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.03,1.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.05,1.0,6.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.07,1.0,5.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.09,1.0,5.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.1,1.0,2.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.5,0.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,single,w_rf,1.0,0.0,10.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.01,0.98,10.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.03,1.0,10.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.05,1.0,10.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.07,1.0,6.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.09,1.0,6.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.1,1.0,6.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,0.5,0.98,1.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,single,w_rf,1.0,0.3,1.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.01,1.0,8.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.03,1.0,6.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.05,1.0,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.07,1.0,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.09,1.0,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.1,1.0,2.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.01,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.03,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.05,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.07,1.0,8.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.09,1.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.1,1.0,6.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.5,1.0,1.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,single,long,w_rf,1.0,0.30612244897959184,5.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.01,1.0,6.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.03,1.0,6.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.05,1.0,4.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.07,1.0,4.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.09,1.0,4.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.1,1.0,2.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.5,1.0,2.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,single,long,w_rf,1.0,1.0,2.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.01,1.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.03,1.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.05,1.0,8.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.07,1.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.09,1.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.1,1.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.5,0.0,10.0
Qwen1.5-32B-Chat,from_female-single_to_male-single,atp,steer,single,long,w_rf,1.0,0.0,10.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.01,0.92,10.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.03,1.0,10.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.05,1.0,8.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.07,1.0,6.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.09,1.0,6.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.1,1.0,6.0
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,0.5,0.76,1.0
