task,space,variant,top_k,n_heads_long,n_heads_single,head_jaccard,n_shared_heads,ambient_dim,cols_per_head,saturated,eff_rank_long,eff_rank_single,stable_rank_long,stable_rank_single,rank_a,rank_b,rank_joint,rank_sharing,grassmann_overlap,energy_b_in_a,energy_a_in_b,mean_principal_angle_deg,n_angles_cos_gt_0.9,n_angles_cos_gt_0.99,null_uniform_grassmann_overlap_mean,null_uniform_grassmann_overlap_std,null_uniform_grassmann_overlap_z,null_uniform_grassmann_overlap_pct,null_uniform_rank_sharing_mean,null_uniform_rank_sharing_std,null_uniform_rank_sharing_z,null_uniform_rank_sharing_pct,null_uniform_energy_b_in_a_mean,null_uniform_energy_b_in_a_std,null_uniform_energy_b_in_a_z,null_uniform_energy_b_in_a_pct,null_layer_matched_grassmann_overlap_mean,null_layer_matched_grassmann_overlap_std,null_layer_matched_grassmann_overlap_z,null_layer_matched_grassmann_overlap_pct,null_layer_matched_rank_sharing_mean,null_layer_matched_rank_sharing_std,null_layer_matched_rank_sharing_z,null_layer_matched_rank_sharing_pct,null_layer_matched_energy_b_in_a_mean,null_layer_matched_energy_b_in_a_std,null_layer_matched_energy_b_in_a_z,null_layer_matched_energy_b_in_a_pct
female,head,disjoint,0.1,121,121,0.1387900355871886,39,5120,128,True,4737.765604124789,4767.905616601366,280.7375848789254,295.36284861840255,4811,4823,4927,0.9783828725836624,0.9458245429444031,0.9567409612229507,0.9604673746142962,4.4533589287438895,4514,4514,0.9508004421031849,0.0005727668986415039,-8.687476826233727,0.0,0.9800709943570028,0.0005444614324717481,-3.100535084141208,0.0,0.9581566644274628,0.0008095596359141686,-1.7487324487386078,0.0,0.9490445213728032,0.001181656714475096,-2.724969433978461,0.0,0.981886605786715,0.0008030688685856861,-4.362929930558996,0.0,0.9609032000886423,0.0011114150044456625,-3.744990709179374,0.0
female,head,all,0.5,800,800,0.34115674769488685,407,5120,128,True,5029.317965268704,5036.454401266622,220.26894281806548,275.5196072875399,5011,5015,5018,0.9994013171023748,0.9884886587021603,0.9876748436055455,0.9884489974994992,1.0271449440868692,4908,4906,0.9887548444313312,0.00015837187418417183,-1.680763901684783,0.0,0.9992815087829496,0.00010920596942610061,1.0970858100044245,0.8,0.9880605643294456,0.0002353160095384702,-1.6391605681934105,0.0,0.9890925770908611,0.0004093065832094879,-1.475467078895436,0.0,0.999480990086932,0.000178488296254253,-0.44637652008147116,0.4,0.9876160570526349,0.00015198542921703557,0.3867907154878393,0.6
female,head,disjoint,0.5,393,393,0.34115674769488685,407,5120,128,True,4980.261712397537,4996.7784693568865,173.3793189819481,263.9630915770717,4982,4991,5007,0.9967884383781613,0.9784297816413159,0.9807757333684406,0.9823359431210565,1.7720950749963615,4853,4853,0.9791440366486418,0.0005823155747415902,-1.2265772002455442,0.2,0.9970339715289853,0.00016714601999107364,-1.4689739596377887,0.0,0.9836326301421072,0.0003273464931675252,-8.727439680267361,0.0,0.9791282053336637,0.0006269922823026753,-1.1139270961722796,0.0,0.9973916288405009,0.0003164539778031917,-1.9060922113443035,0.0,0.9821552031432667,0.0003065703842250334,-4.499683745751121,0.0
female,head,all,1.0,1600,1600,1.0,1600,5120,128,True,5048.993945773056,5048.993945773056,233.62955724830422,233.62955724830422,5020,5020,5020,1.0,1.0000000000000007,0.9900655807073632,0.9900655807073632,9.801102240412268e-07,5020,5020,1.0000000000000004,1.5700924586837752e-16,1.414213562373095,0.6,1.0,0.0,,0.0,0.990065580707363,1.2412670766236366e-16,1.7888543819998317,1.0,1.0000000000000004,1.1102230246251565e-16,2.0,0.8,1.0,0.0,,0.0,0.9900655807073632,5.551115123125783e-17,0.0,0.2
lying,head,all,0.01,16,16,0.03225806451612903,1,5120,128,False,1872.047569148042,1907.6684873061622,185.74641681963786,419.6519255284252,1897,1920,3288,0.2788613600421718,0.43111120664375396,0.45588438208156135,0.4632948327596041,50.077015508839686,335,123,0.38867117149231734,0.012184115585014626,3.483226571129552,1.0,0.22886451732719162,0.02026003598730121,2.4677568562226506,1.0,0.3979654895995902,0.018445416255862785,3.1400154747693425,1.0,0.41082374835164776,0.010112249260847223,2.006226089645113,1.0,0.24620789286779857,0.01634977795889865,1.9971810783277972,1.0,0.43390776431295386,0.018208286261449796,1.2069569564674476,1.0
lying,head,disjoint,0.01,15,15,0.03225806451612903,1,5120,128,False,1760.1321137152643,1795.3407504294487,179.97810064832188,420.39410469803886,1786,1807,3217,0.21052631578947367,0.3849780900151175,0.3999573299016573,0.4068746351331099,53.78695116653983,198,0,0.37800764142508114,0.031472321500576134,0.22147869167861575,0.8,0.21498516408153404,0.046614988182926156,-0.09565267451239046,0.8,0.3940639325801373,0.050514646075831,0.11666710111505121,0.8,0.39698410181930865,0.01096339491614366,-1.0950998204499796,0.0,0.22494475024232927,0.01780010634631927,-0.8100195679919101,0.0,0.427016242140376,0.015507498752692755,-1.7448921112452216,0.0
lying,head,all,0.03,48,48,0.010526315789473684,1,5120,128,True,4206.840387562348,4218.7278930088305,275.8621444309029,215.47723705880483,4123,4133,4709,0.8602959010429299,0.820517218767059,0.8537245811157139,0.8538413699678963,15.046225050294204,3136,3136,0.826331517917151,0.0010377710007060193,-5.602680308214834,0.0,0.8647266206725461,0.001213368276506051,-3.651586839219774,0.0,0.8421738432713759,0.0020823502048535098,5.546971790535396,1.0,0.8233177787787094,0.0020382170476078384,-1.3740244273480584,0.0,0.8641249425852042,0.0018281358266933085,-2.0945060461947484,0.0,0.8541334288427296,0.002129126118344246,-0.19202607280662537,0.4
lying,head,disjoint,0.03,47,47,0.010526315789473684,1,5120,128,True,4178.8648869054405,4190.592109645455,274.412827551058,213.48297552765,4088,4097,4704,0.8515166340508806,0.8128618178807987,0.8455222357519082,0.8453097574800752,15.697680952285372,3065,3065,0.8218788156759759,0.0024991667992682333,-3.6080015938981695,0.0,0.8593133101380008,0.003093163078315667,-2.5206159163666726,0.0,0.8353878284523478,0.0028038511065712067,3.614459867647403,1.0,0.8171276466454351,0.002816522393808443,-1.514572997542644,0.2,0.8571222734999836,0.0031666789517844746,-1.770195063804654,0.0,0.8452889388734774,0.007941795055254799,0.02937583717630719,0.6
lying,head,all,0.05,80,80,0.05263157894736842,8,5120,128,True,4551.773262337954,4600.159540269695,196.99154769614532,243.3786027044971,4615,4653,4846,0.9581798483206934,0.9172345772947186,0.9348909191042962,0.9405963996442589,6.813907312543936,4148,4148,0.9210889535697904,0.0006862678600112878,-5.616431279483778,0.0,0.9570531366067699,0.0007935327266950869,1.4198679853015805,0.8,0.93036635893664,0.0026340594686280485,1.7177137500289061,1.0,0.9170313194267342,0.001687026402900314,0.12048292050137746,0.4,0.9578375000791215,0.0017553604464087306,0.19503016732106038,0.4,0.9310470016219844,0.0003621508229231953,10.614134330234691,1.0
lying,head,disjoint,0.05,72,72,0.05263157894736842,8,5120,128,True,4487.886694741618,4540.5951661033905,186.39936762363152,230.02280022217587,4540,4581,4838,0.9433920704845815,0.9013350236427617,0.9166103693122418,0.9230605431143544,8.111951767055729,4001,4001,0.9088706558524822,0.0012851046036141016,-5.863827884926995,0.0,0.9462565291624104,0.0008784586661048122,-3.2607779834767423,0.0,0.9188569304326443,0.002132427214836191,-1.0535230017569546,0.2,0.9052074553914903,0.001890421592334681,-2.0484487504959454,0.0,0.9472558603408743,0.0015604928637831712,-2.4760061042032646,0.0,0.9197273967966542,0.0013812440002771394,-2.2566812842531245,0.0
lying,head,all,0.07,112,112,0.06666666666666667,14,5120,128,True,4692.850871019878,4729.041256328451,225.25072093730563,227.29650044935815,4765,4796,4894,0.9794333683105981,0.9449554803236797,0.9579469245429098,0.9622074474718012,4.5391120263765705,4441,4441,0.9472125622883402,0.0006036799066902207,-3.738872106966916,0.0,0.9777410057614488,0.0005582648122366198,3.0314691380404946,1.0,0.9554429682225806,0.0019556724697287822,1.2803556623550756,1.0,0.9440678370379103,0.001312375515637452,0.6763637961793674,0.8,0.9790164304527537,0.0015383670876909284,0.27102624671351183,0.4,0.9570418410731649,0.0017225966438147622,0.5254181081767826,0.6
lying,head,disjoint,0.07,98,98,0.06666666666666667,14,5120,128,True,4651.175490811041,4689.252472970051,271.46370059974726,258.7299053206142,4720,4753,4891,0.9707627118644068,0.9344037627324462,0.9456886503208233,0.9501495264347489,5.387785438311802,4353,4353,0.9388819228155029,0.0007132151997914723,-6.278834332703498,0.0,0.9715255608723308,0.0008780926468247307,-0.868756856901765,0.2,0.9486781690853977,0.001912956647576574,-1.5627739229541324,0.0,0.9358711793705712,0.0009435324837526522,-1.555237009211101,0.0,0.9726040625615188,0.0012142307879314438,-1.5164750518712449,0.0,0.9474851060081415,0.0017548039062294403,-1.023735860708385,0.2
lying,head,all,0.09,144,144,0.09923664122137404,26,5120,128,True,4761.447446547835,4804.534256605242,245.15361734992922,253.0929731770096,4832,4861,4919,0.9879966887417219,0.9580917273320674,0.9675517789421215,0.9720006954672756,3.4706723024752084,4573,4573,0.9578193603156748,0.00045325155283192423,0.600917999487912,0.6,0.9851198205725471,0.0003334362275567718,8.627941211591768,1.0,0.9655961080316882,0.0005888607438648769,3.3211093298522187,1.0,0.9572426787328843,0.0009579112260330804,0.8863541590374785,0.8,0.9876713817680731,0.0005335134494321471,0.6097446540382209,0.8,0.9662326693413718,0.0003556739217577549,3.7087610872078427,1.0
